Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Acala,Mazatán,421.901,422.674,0.772,335.0
Acala,Metapa,440.246,441.069,0.824,341.1
Acala,Mezcalapa,153.806,154.448,0.642,141.5
Acala,Mitontic,95.373,96.99,1.617,117.2
Acala,Montecristo de Guerrero,194.529,195.373,0.844,216.0
Acala,Motozintla,263.782,266.123,2.341,277.3
Acala,Nicolás Ruíz,44.703,44.861,0.158,51.8
Acala,Ocosingo,298.829,301.289,2.459,390.0
Acala,Ocotepec,161.884,163.286,1.402,191.8
Acala,Ocozocoautla de Espinosa,95.177,95.389,0.212,96.8
Acala,Ostuacán,205.54,206.445,0.905,182.7
Acala,Osumacinta,92.787,93.248,0.46,99.5
Acala,Oxchuc,113.837,114.888,1.051,121.4
Acala,Palenque,287.323,289.789,2.466,290.5
Acala,Pantelhó,131.658,133.641,1.983,166.3
Acala,Pantepec,169.007,170.855,1.848,169.3
Acala,Pichucalco,227.817,230.665,2.848,219.3
Acala,Pijijiapan,283.397,284.025,0.627,225.0
Acala,Pueblo Nuevo Solistahuacán,140.216,141.589,1.373,138.7
Acala,Rayón,159.885,161.617,1.732,156.2
Acala,Reforma,255.827,256.627,0.8,235.2
Acala,Rincón Chamula San Pedro,148.696,150.132,1.436,148.0
Acala,Sabanilla,196.155,198.755,2.601,223.1
Acala,Salto de Agua,260.198,262.506,2.309,267.0
Acala,San Andrés Duraznal,154.276,155.899,1.623,165.8
Acala,San Cristóbal de las Casas,58.843,59.498,0.655,68.7
Acala,San Fernando,77.531,77.757,0.226,89.6
Acala,San Juan Cancuc,117.749,119.239,1.49,148.1
Acala,San Lucas,26.265,26.432,0.167,40.8
Acala,Santiago el Pinar,95.104,96.408,1.304,131.1
Acala,Siltepec,244.678,248.425,3.746,267.5
Acala,Simojovel,170.168,171.992,1.824,194.0
Acala,Sitalá,151.93,154.119,2.189,192.2
Acala,Socoltenango,97.516,97.693,0.178,115.3
Acala,Solosuchiapa,206.22,209.033,2.813,209.4
Acala,Soyaló,92.641,93.368,0.727,102.3
Acala,Suchiapa,55.089,55.249,0.161,68.5
Acala,Suchiate,458.497,459.304,0.807,361.8
Acala,Sunuapa,247.413,248.588,1.175,232.2
Acala,Tapachula,414.734,415.523,0.789,325.8
Acala,Tapalapa,183.392,185.814,2.421,195.3
Acala,Tapilula,174.382,176.275,1.893,170.2
Acala,Tecpatán,172.02,172.924,0.904,157.8
Acala,Tenejapa,95.658,96.767,1.11,112.3
Acala,Teopisca,45.08,45.574,0.494,85.9
Acala,Tila,250.031,252.595,2.564,272.7
Acala,Tonalá,218.036,218.587,0.551,189.5
Acala,Totolapa,23.134,23.227,0.094,32.2
Acala,Tumbalá,231.195,233.359,2.164,248.3
